param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_splitter,params,mean_test_score,std_test_score,rank_test_score
balanced,gini,10,,30,0.0,3,6,best,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'max_leaf_nodes': 30, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 3, 'min_samples_split': 6, 'splitter': 'best'}",0.9969064261635647,0.0014027008624042658,1
balanced,gini,,auto,40,0.0,1,8,best,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': 40, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 8, 'splitter': 'best'}",0.9895293334466444,0.004555651290712382,2
balanced,entropy,15,sqrt,30,0.0,2,9,best,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 15, 'max_features': 'sqrt', 'max_leaf_nodes': 30, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 9, 'splitter': 'best'}",0.9835205093340132,0.0052752338264424594,3
,entropy,5,log2,30,0.0,3,7,best,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'max_leaf_nodes': 30, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 3, 'min_samples_split': 7, 'splitter': 'best'}",0.9559174669272824,0.017875607729974183,4
,entropy,10,auto,40,0.0,3,3,random,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'max_leaf_nodes': 40, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 3, 'min_samples_split': 3, 'splitter': 'random'}",0.9541307611682388,0.00966980950929637,5
balanced,gini,15,auto,20,0.0,4,3,random,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'max_features': 'auto', 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 3, 'splitter': 'random'}",0.9369391801931958,0.017580927505530756,6
balanced,gini,5,,30,0.1,4,5,best,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': 30, 'min_impurity_decrease': 0.1, 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'best'}",0.8569218648196936,0.007450698179349867,7
balanced,gini,15,,20,0.2,1,9,best,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'max_features': None, 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.2, 'min_samples_leaf': 1, 'min_samples_split': 9, 'splitter': 'best'}",0.8569218648196936,0.007450698179349867,7
,gini,5,log2,20,0.0,3,8,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 3, 'min_samples_split': 8, 'splitter': 'random'}",0.8512121115549135,0.0425983001181455,9
balanced,entropy,5,,40,0.1,2,5,random,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': 40, 'min_impurity_decrease': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'random'}",0.8441885498994364,0.026488752930829425,10
balanced,entropy,,sqrt,40,0.1,4,5,best,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': 40, 'min_impurity_decrease': 0.1, 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'best'}",0.8359173606979973,0.04796834758075411,11
,gini,10,auto,10,0.1,1,5,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'max_leaf_nodes': 10, 'min_impurity_decrease': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'best'}",0.7827971233109543,0.0984917600701946,12
,entropy,5,sqrt,40,0.3,1,2,best,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': 40, 'min_impurity_decrease': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",0.7435966049120422,0.15822653872641868,13
,gini,10,sqrt,30,0.1,2,6,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': 30, 'min_impurity_decrease': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 6, 'splitter': 'random'}",0.5583285530154953,0.11127808392704278,14
balanced,gini,5,log2,40,0.1,1,5,random,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'max_leaf_nodes': 40, 'min_impurity_decrease': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'random'}",0.5222782286620775,0.074965410527936,15
,gini,5,,30,0.3,4,8,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': 30, 'min_impurity_decrease': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 8, 'splitter': 'random'}",0.502706899237982,8.976374606950444e-05,16
,entropy,15,sqrt,,0.4,3,5,random,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 15, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.4, 'min_samples_leaf': 3, 'min_samples_split': 5, 'splitter': 'random'}",0.502706899237982,8.976374606950444e-05,16
,gini,,log2,10,0.3,1,5,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'max_leaf_nodes': 10, 'min_impurity_decrease': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'random'}",0.502706899237982,8.976374606950444e-05,16
,gini,15,,30,0.3,4,7,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 15, 'max_features': None, 'max_leaf_nodes': 30, 'min_impurity_decrease': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 7, 'splitter': 'random'}",0.502706899237982,8.976374606950444e-05,16
,gini,10,log2,40,0.3,4,9,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'max_leaf_nodes': 40, 'min_impurity_decrease': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 9, 'splitter': 'best'}",0.502706899237982,8.976374606950444e-05,16
,gini,10,sqrt,,0.3,1,2,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",0.502706899237982,8.976374606950444e-05,16
,entropy,20,log2,20,0.4,1,8,random,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.4, 'min_samples_leaf': 1, 'min_samples_split': 8, 'splitter': 'random'}",0.502706899237982,8.976374606950444e-05,16
balanced,gini,10,auto,20,0.4,3,7,best,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.4, 'min_samples_leaf': 3, 'min_samples_split': 7, 'splitter': 'best'}",0.4972931007620181,8.976374606952109e-05,23
balanced,entropy,20,log2,,0.3,1,9,random,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.3, 'min_samples_leaf': 1, 'min_samples_split': 9, 'splitter': 'random'}",0.4972931007620181,8.976374606952109e-05,23
balanced,gini,20,log2,20,0.4,4,6,random,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.4, 'min_samples_leaf': 4, 'min_samples_split': 6, 'splitter': 'random'}",0.4972931007620181,8.976374606952109e-05,23
