param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_splitter,params,mean_test_score,std_test_score,rank_test_score
balanced,gini,15,log2,40,0.0,3,6,best,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'max_leaf_nodes': 40, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 3, 'min_samples_split': 6, 'splitter': 'best'}",0.985543646072349,0.006937429532452813,1
,entropy,15,,10,0.0,1,8,best,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 15, 'max_features': None, 'max_leaf_nodes': 10, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 8, 'splitter': 'best'}",0.968707260417552,0.004563050013748858,2
,gini,10,auto,40,0.0,4,9,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'max_leaf_nodes': 40, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 9, 'splitter': 'random'}",0.9543100407920454,0.015236472810728988,3
balanced,entropy,5,log2,30,0.0,3,6,best,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'max_leaf_nodes': 30, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 3, 'min_samples_split': 6, 'splitter': 'best'}",0.9484800713860796,0.014140409203599026,4
,entropy,10,auto,40,0.0,4,5,random,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'max_leaf_nodes': 40, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'random'}",0.9400305232146398,0.013078606861337175,5
,gini,10,log2,40,0.0,4,9,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'max_leaf_nodes': 40, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 9, 'splitter': 'random'}",0.9189121767088752,0.029107770956317162,6
,entropy,,log2,30,0.0,1,8,random,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'log2', 'max_leaf_nodes': 30, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 8, 'splitter': 'random'}",0.9175427749922098,0.020931768558726912,7
,entropy,10,log2,20,0.0,4,3,random,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 3, 'splitter': 'random'}",0.8883892807569191,0.04359595759891243,8
,gini,,log2,20,0.0,4,7,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 7, 'splitter': 'random'}",0.8844676142318914,0.026123605359563627,9
balanced,entropy,5,sqrt,20,0.1,4,7,best,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.1, 'min_samples_leaf': 4, 'min_samples_split': 7, 'splitter': 'best'}",0.8584688464916008,0.025241284936309682,10
balanced,gini,,,20,0.1,1,5,best,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'best'}",0.8569218648196936,0.007450698179349867,11
,entropy,5,,20,0.1,2,5,random,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'random'}",0.8534119430044476,0.03990147412297532,12
,gini,5,,40,0.1,2,4,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': 40, 'min_impurity_decrease': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'splitter': 'random'}",0.8234872241579557,0.033972009237067655,13
,entropy,10,,20,0.2,4,2,random,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.2, 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'random'}",0.7960592830231439,0.031224262765339066,14
balanced,gini,15,log2,30,0.1,4,6,best,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'max_leaf_nodes': 30, 'min_impurity_decrease': 0.1, 'min_samples_leaf': 4, 'min_samples_split': 6, 'splitter': 'best'}",0.7930313234752557,0.10351806301660779,15
,gini,10,log2,20,0.1,4,6,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.1, 'min_samples_leaf': 4, 'min_samples_split': 6, 'splitter': 'best'}",0.7062377482224299,0.1679947657992404,16
