param_warm_start,param_validation_fraction,param_tol,param_solver,param_shuffle,param_nesterovs_momentum,param_momentum,param_max_iter,param_learning_rate,param_hidden_layer_sizes,param_epsilon,param_early_stopping,param_beta_2,param_beta_1,param_batch_size,param_alpha,param_activation,params,mean_test_score,std_test_score,rank_test_score
False,0.2,0.001,lbfgs,False,False,0.99,200,adaptive,"(150,)",1e-08,True,0.999,0.9,200,0.001,tanh,"{'warm_start': False, 'validation_fraction': 0.2, 'tol': 0.001, 'solver': 'lbfgs', 'shuffle': False, 'nesterovs_momentum': False, 'momentum': 0.99, 'max_iter': 200, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (150,), 'epsilon': 1e-08, 'early_stopping': True, 'beta_2': 0.999, 'beta_1': 0.9, 'batch_size': 200, 'alpha': 0.001, 'activation': 'tanh'}",0.9999405116002379,0.00017846519928612636,1
True,0.1,0.001,adam,False,True,0.99,400,invscaling,"(150,)",1e-06,False,0.9999,0.99,500,0.001,logistic,"{'warm_start': True, 'validation_fraction': 0.1, 'tol': 0.001, 'solver': 'adam', 'shuffle': False, 'nesterovs_momentum': True, 'momentum': 0.99, 'max_iter': 400, 'learning_rate': 'invscaling', 'hidden_layer_sizes': (150,), 'epsilon': 1e-06, 'early_stopping': False, 'beta_2': 0.9999, 'beta_1': 0.99, 'batch_size': 500, 'alpha': 0.001, 'activation': 'logistic'}",0.9999405116002379,0.00017846519928612636,1
True,0.1,0.001,sgd,False,True,0.99,800,adaptive,"(150,)",1e-07,False,0.999,0.9,500,0.01,relu,"{'warm_start': True, 'validation_fraction': 0.1, 'tol': 0.001, 'solver': 'sgd', 'shuffle': False, 'nesterovs_momentum': True, 'momentum': 0.99, 'max_iter': 800, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (150,), 'epsilon': 1e-07, 'early_stopping': False, 'beta_2': 0.999, 'beta_1': 0.9, 'batch_size': 500, 'alpha': 0.01, 'activation': 'relu'}",0.9999405116002379,0.00017846519928612636,1
True,0.15,0.001,lbfgs,True,True,0.99,400,constant,"(150, 150)",1e-06,False,0.999,0.9,200,0.0001,identity,"{'warm_start': True, 'validation_fraction': 0.15, 'tol': 0.001, 'solver': 'lbfgs', 'shuffle': True, 'nesterovs_momentum': True, 'momentum': 0.99, 'max_iter': 400, 'learning_rate': 'constant', 'hidden_layer_sizes': (150, 150), 'epsilon': 1e-06, 'early_stopping': False, 'beta_2': 0.999, 'beta_1': 0.9, 'batch_size': 200, 'alpha': 0.0001, 'activation': 'identity'}",0.9999405116002379,0.00017846519928612636,1
True,0.2,0.0001,lbfgs,True,False,0.99,400,invscaling,"(100, 100)",1e-07,False,0.999,0.99,100,0.01,tanh,"{'warm_start': True, 'validation_fraction': 0.2, 'tol': 0.0001, 'solver': 'lbfgs', 'shuffle': True, 'nesterovs_momentum': False, 'momentum': 0.99, 'max_iter': 400, 'learning_rate': 'invscaling', 'hidden_layer_sizes': (100, 100), 'epsilon': 1e-07, 'early_stopping': False, 'beta_2': 0.999, 'beta_1': 0.99, 'batch_size': 100, 'alpha': 0.01, 'activation': 'tanh'}",0.9999405116002379,0.00017846519928612636,1
True,0.1,0.001,lbfgs,True,False,0.95,200,constant,"(200, 200)",1e-06,True,0.9999,0.9,100,0.01,relu,"{'warm_start': True, 'validation_fraction': 0.1, 'tol': 0.001, 'solver': 'lbfgs', 'shuffle': True, 'nesterovs_momentum': False, 'momentum': 0.95, 'max_iter': 200, 'learning_rate': 'constant', 'hidden_layer_sizes': (200, 200), 'epsilon': 1e-06, 'early_stopping': True, 'beta_2': 0.9999, 'beta_1': 0.9, 'batch_size': 100, 'alpha': 0.01, 'activation': 'relu'}",0.9998810232004759,0.00023795359904816847,6
False,0.2,0.01,adam,False,False,0.99,600,constant,"(150, 150)",1e-08,False,0.9999,0.99,100,0.0001,logistic,"{'warm_start': False, 'validation_fraction': 0.2, 'tol': 0.01, 'solver': 'adam', 'shuffle': False, 'nesterovs_momentum': False, 'momentum': 0.99, 'max_iter': 600, 'learning_rate': 'constant', 'hidden_layer_sizes': (150, 150), 'epsilon': 1e-08, 'early_stopping': False, 'beta_2': 0.9999, 'beta_1': 0.99, 'batch_size': 100, 'alpha': 0.0001, 'activation': 'logistic'}",0.9998810232004759,0.00023795359904816847,6
False,0.1,0.001,adam,False,False,0.99,800,constant,"(50,)",1e-07,False,0.9999,0.99,auto,0.01,identity,"{'warm_start': False, 'validation_fraction': 0.1, 'tol': 0.001, 'solver': 'adam', 'shuffle': False, 'nesterovs_momentum': False, 'momentum': 0.99, 'max_iter': 800, 'learning_rate': 'constant', 'hidden_layer_sizes': (50,), 'epsilon': 1e-07, 'early_stopping': False, 'beta_2': 0.9999, 'beta_1': 0.99, 'batch_size': 'auto', 'alpha': 0.01, 'activation': 'identity'}",0.9998810232004759,0.00023795359904816847,6
True,0.15,0.0001,adam,True,False,0.95,800,adaptive,"(200,)",1e-07,False,0.999,0.9,100,0.001,logistic,"{'warm_start': True, 'validation_fraction': 0.15, 'tol': 0.0001, 'solver': 'adam', 'shuffle': True, 'nesterovs_momentum': False, 'momentum': 0.95, 'max_iter': 800, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (200,), 'epsilon': 1e-07, 'early_stopping': False, 'beta_2': 0.999, 'beta_1': 0.9, 'batch_size': 100, 'alpha': 0.001, 'activation': 'logistic'}",0.9998810232004759,0.00023795359904816847,6
False,0.2,0.001,lbfgs,False,True,0.9,600,adaptive,"(200, 200)",1e-07,False,0.999,0.99,auto,0.1,logistic,"{'warm_start': False, 'validation_fraction': 0.2, 'tol': 0.001, 'solver': 'lbfgs', 'shuffle': False, 'nesterovs_momentum': True, 'momentum': 0.9, 'max_iter': 600, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (200, 200), 'epsilon': 1e-07, 'early_stopping': False, 'beta_2': 0.999, 'beta_1': 0.99, 'batch_size': 'auto', 'alpha': 0.1, 'activation': 'logistic'}",0.9998810232004759,0.00023795359904816847,6
