param_max_depth,param_max_features,param_max_leaf_nodes,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_oob_score,param_warm_start,params,mean_test_score,std_test_score,rank_test_score
7,sqrt,20,0.0,1,8,171,True,False,"{'max_depth': 7, 'max_features': 'sqrt', 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 171, 'oob_score': True, 'warm_start': False}",0.999702536765445,5.9509635506826974e-05,1
7,sqrt,20,0.0,4,6,209,True,False,"{'max_depth': 7, 'max_features': 'sqrt', 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 209, 'oob_score': True, 'warm_start': False}",0.9996430412871014,0.00011900511385048995,2
7,log2,20,0.0,1,2,489,True,False,"{'max_depth': 7, 'max_features': 'log2', 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 489, 'oob_score': True, 'warm_start': False}",0.9996430412871014,0.00011900511385048995,2
6,log2,30,0.0,1,5,363,False,False,"{'max_depth': 6, 'max_features': 'log2', 'max_leaf_nodes': 30, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 363, 'oob_score': False, 'warm_start': False}",0.9996430412871014,0.00011900511385048995,2
15,,,0.0,2,2,491,False,True,"{'max_depth': 15, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 491, 'oob_score': False, 'warm_start': True}",0.99910758906059,0.000535480540837574,5
13,,,0.0,4,5,271,True,False,"{'max_depth': 13, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 271, 'oob_score': True, 'warm_start': False}",0.9987506161905282,0.0008924534108994409,6
5,log2,10,0.0,4,8,250,False,True,"{'max_depth': 5, 'max_features': 'log2', 'max_leaf_nodes': 10, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 250, 'oob_score': False, 'warm_start': True}",0.9977987876371723,0.0001786067709181327,7
14,,20,0.0,3,8,395,False,True,"{'max_depth': 14, 'max_features': None, 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 395, 'oob_score': False, 'warm_start': True}",0.9969062775976201,0.002379861605235456,8
12,sqrt,,0.2,3,8,219,False,True,"{'max_depth': 12, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 219, 'oob_score': False, 'warm_start': True}",0.8972575451309127,0.002076105511638504,9
2,log2,30,0.1,3,9,320,False,True,"{'max_depth': 2, 'max_features': 'log2', 'max_leaf_nodes': 30, 'min_impurity_decrease': 0.1, 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 320, 'oob_score': False, 'warm_start': True}",0.8971384763098278,0.0006482918957885775,10
13,sqrt,40,0.2,1,2,394,True,False,"{'max_depth': 13, 'max_features': 'sqrt', 'max_leaf_nodes': 40, 'min_impurity_decrease': 0.2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 394, 'oob_score': True, 'warm_start': False}",0.8970790516173002,0.0017786351985018545,11
7,sqrt,20,0.1,1,5,99,False,True,"{'max_depth': 7, 'max_features': 'sqrt', 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 99, 'oob_score': False, 'warm_start': True}",0.8960676143282951,0.0005292443104484845,12
2,sqrt,40,0.2,4,9,263,True,False,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 40, 'min_impurity_decrease': 0.2, 'min_samples_leaf': 4, 'min_samples_split': 9, 'n_estimators': 263, 'oob_score': True, 'warm_start': False}",0.8958891562075904,0.0008266933878403049,13
18,log2,,0.1,1,3,389,False,False,"{'max_depth': 18, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 389, 'oob_score': False, 'warm_start': False}",0.8955322541233446,0.0016595592988353225,14
6,log2,20,0.1,3,5,280,False,False,"{'max_depth': 6, 'max_features': 'log2', 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 280, 'oob_score': False, 'warm_start': False}",0.8952941589526644,0.00048216466423034454,15
2,log2,10,0.1,1,8,451,False,True,"{'max_depth': 2, 'max_features': 'log2', 'max_leaf_nodes': 10, 'min_impurity_decrease': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 451, 'oob_score': False, 'warm_start': True}",0.8949967948182518,0.0011240999937425222,16
1,sqrt,20,0.1,1,5,282,True,False,"{'max_depth': 1, 'max_features': 'sqrt', 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 282, 'oob_score': True, 'warm_start': False}",0.8948183366975473,0.001421549071134398,17
8,sqrt,40,0.1,3,6,329,False,False,"{'max_depth': 8, 'max_features': 'sqrt', 'max_leaf_nodes': 40, 'min_impurity_decrease': 0.1, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 329, 'oob_score': False, 'warm_start': False}",0.8946993669766047,0.0016595097487641652,18
19,log2,30,0.1,2,6,111,True,False,"{'max_depth': 19, 'max_features': 'log2', 'max_leaf_nodes': 30, 'min_impurity_decrease': 0.1, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 111, 'oob_score': True, 'warm_start': False}",0.8936880995735579,0.003265731935247429,19
7,sqrt,,0.2,2,5,138,False,True,"{'max_depth': 7, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.2, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 138, 'oob_score': False, 'warm_start': True}",0.8932121711397167,0.003384687499026706,20
1,,40,0.2,2,4,306,True,True,"{'max_depth': 1, 'max_features': None, 'max_leaf_nodes': 40, 'min_impurity_decrease': 0.2, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 306, 'oob_score': True, 'warm_start': True}",0.8549586242748347,0.00048456430339249845,21
16,,20,0.2,4,9,180,True,False,"{'max_depth': 16, 'max_features': None, 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.2, 'min_samples_leaf': 4, 'min_samples_split': 9, 'n_estimators': 180, 'oob_score': True, 'warm_start': False}",0.8549586242748347,0.00048456430339249845,21
11,,40,0.2,2,6,307,False,True,"{'max_depth': 11, 'max_features': None, 'max_leaf_nodes': 40, 'min_impurity_decrease': 0.2, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 307, 'oob_score': False, 'warm_start': True}",0.8549586242748347,0.00048456430339249845,21
6,,,0.1,1,2,356,False,True,"{'max_depth': 6, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 356, 'oob_score': False, 'warm_start': True}",0.8549586242748347,0.00048456430339249845,21
