param_max_depth,param_max_features,param_max_leaf_nodes,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_oob_score,param_warm_start,params,mean_test_score,std_test_score,rank_test_score
15,,,0.0,2,2,491,False,True,"{'max_depth': 15, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 491, 'oob_score': False, 'warm_start': True}",0.9997620464009518,0.0004759071980963813,1
7,sqrt,20,0.0,4,6,209,True,False,"{'max_depth': 7, 'max_features': 'sqrt', 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 209, 'oob_score': True, 'warm_start': False}",0.999702522591428,0.0002974774254317615,2
6,log2,30,0.0,1,5,363,False,False,"{'max_depth': 6, 'max_features': 'log2', 'max_leaf_nodes': 30, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 363, 'oob_score': False, 'warm_start': False}",0.9996430341916659,0.0002914613799376064,3
7,sqrt,20,0.0,1,8,171,True,False,"{'max_depth': 7, 'max_features': 'sqrt', 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 171, 'oob_score': True, 'warm_start': False}",0.9995835457919039,0.00038092821904034494,4
7,log2,20,0.0,1,2,489,True,False,"{'max_depth': 7, 'max_features': 'log2', 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 489, 'oob_score': True, 'warm_start': False}",0.9995835457919039,0.00038092821904034494,4
13,,,0.0,4,5,271,True,False,"{'max_depth': 13, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 271, 'oob_score': True, 'warm_start': False}",0.999524057392142,0.00044517989702463494,6
14,,20,0.0,3,8,395,False,True,"{'max_depth': 14, 'max_features': None, 'max_leaf_nodes': 20, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 395, 'oob_score': False, 'warm_start': True}",0.9976203577802328,0.0009591557939057297,7
5,log2,10,0.0,4,8,250,False,True,"{'max_depth': 5, 'max_features': 'log2', 'max_leaf_nodes': 10, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 250, 'oob_score': False, 'warm_start': True}",0.9970253675533272,0.001330296221065038,8
2,sqrt,40,0.2,4,9,263,True,False,"{'max_depth': 2, 'max_features': 'sqrt', 'max_leaf_nodes': 40, 'min_impurity_decrease': 0.2, 'min_samples_leaf': 4, 'min_samples_split': 9, 'n_estimators': 263, 'oob_score': True, 'warm_start': False}",0.896960213591683,0.00908087242343107,9
13,sqrt,40,0.2,1,2,394,True,False,"{'max_depth': 13, 'max_features': 'sqrt', 'max_leaf_nodes': 40, 'min_impurity_decrease': 0.2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 394, 'oob_score': True, 'warm_start': False}",0.8969003002747797,0.009392964119474274,10
