param_tol,param_shrinking,param_probability,param_max_iter,param_kernel,param_gamma,param_degree,param_coef0,param_class_weight,param_C,params,mean_test_score,std_test_score,rank_test_score
0.0001,True,False,100,rbf,scale,3,0.2,balanced,100,"{'tol': 0.0001, 'shrinking': True, 'probability': False, 'max_iter': 100, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 3, 'coef0': 0.2, 'class_weight': 'balanced', 'C': 100}",0.9999405116002379,0.00017846519928612636,1
1e-05,True,False,500,rbf,scale,2,0.1,,100,"{'tol': 1e-05, 'shrinking': True, 'probability': False, 'max_iter': 500, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 2, 'coef0': 0.1, 'class_weight': None, 'C': 100}",0.9999405116002379,0.00017846519928612636,1
0.0001,True,False,500,poly,scale,5,0.2,,100,"{'tol': 0.0001, 'shrinking': True, 'probability': False, 'max_iter': 500, 'kernel': 'poly', 'gamma': 'scale', 'degree': 5, 'coef0': 0.2, 'class_weight': None, 'C': 100}",0.999880987790714,0.00023802443174105752,3
0.0001,True,False,500,poly,auto,4,0.0,,100,"{'tol': 0.0001, 'shrinking': True, 'probability': False, 'max_iter': 500, 'kernel': 'poly', 'gamma': 'auto', 'degree': 4, 'coef0': 0.0, 'class_weight': None, 'C': 100}",0.999821534800714,0.000272610094881351,4
1e-05,True,True,1000,poly,scale,4,0.3,balanced,10,"{'tol': 1e-05, 'shrinking': True, 'probability': True, 'max_iter': 1000, 'kernel': 'poly', 'gamma': 'scale', 'degree': 4, 'coef0': 0.3, 'class_weight': 'balanced', 'C': 10}",0.9997620109911901,0.0002914758341190358,5
1e-05,False,True,100,rbf,auto,2,0.1,,0.1,"{'tol': 1e-05, 'shrinking': False, 'probability': True, 'max_iter': 100, 'kernel': 'rbf', 'gamma': 'auto', 'degree': 2, 'coef0': 0.1, 'class_weight': None, 'C': 0.1}",0.9997025580011897,0.0003990603172218503,6
0.001,True,False,1000,rbf,scale,5,0.0,balanced,10,"{'tol': 0.001, 'shrinking': True, 'probability': False, 'max_iter': 1000, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 5, 'coef0': 0.0, 'class_weight': 'balanced', 'C': 10}",0.999702522591428,0.0002974774254317615,7
0.0001,True,False,250,poly,scale,3,0.1,balanced,10,"{'tol': 0.0001, 'shrinking': True, 'probability': False, 'max_iter': 250, 'kernel': 'poly', 'gamma': 'scale', 'degree': 3, 'coef0': 0.1, 'class_weight': 'balanced', 'C': 10}",0.9997024871816663,0.00039921869961668545,8
0.001,False,True,100,poly,auto,2,0.1,,1,"{'tol': 0.001, 'shrinking': False, 'probability': True, 'max_iter': 100, 'kernel': 'poly', 'gamma': 'auto', 'degree': 2, 'coef0': 0.1, 'class_weight': None, 'C': 1}",0.9995835812016658,0.000380911614362449,9
1e-05,True,True,1000,rbf,auto,4,0.1,,1,"{'tol': 1e-05, 'shrinking': True, 'probability': True, 'max_iter': 1000, 'kernel': 'rbf', 'gamma': 'auto', 'degree': 4, 'coef0': 0.1, 'class_weight': None, 'C': 1}",0.9989291379847597,0.0006407228596078525,10
0.001,True,True,1000,rbf,auto,2,0.2,,1,"{'tol': 0.001, 'shrinking': True, 'probability': True, 'max_iter': 1000, 'kernel': 'rbf', 'gamma': 'auto', 'degree': 2, 'coef0': 0.2, 'class_weight': None, 'C': 1}",0.9989291379847597,0.0006407228596078525,10
0.0001,True,False,500,rbf,auto,4,0.3,,0.1,"{'tol': 0.0001, 'shrinking': True, 'probability': False, 'max_iter': 500, 'kernel': 'rbf', 'gamma': 'auto', 'degree': 4, 'coef0': 0.3, 'class_weight': None, 'C': 0.1}",0.9989290671652362,0.0007894377667590781,12
0.001,False,False,500,rbf,auto,4,0.1,,0.1,"{'tol': 0.001, 'shrinking': False, 'probability': False, 'max_iter': 500, 'kernel': 'rbf', 'gamma': 'auto', 'degree': 4, 'coef0': 0.1, 'class_weight': None, 'C': 0.1}",0.9989290671652362,0.0007894377667590781,12
0.0001,False,False,250,rbf,auto,2,0.4,balanced,100,"{'tol': 0.0001, 'shrinking': False, 'probability': False, 'max_iter': 250, 'kernel': 'rbf', 'gamma': 'auto', 'degree': 2, 'coef0': 0.4, 'class_weight': 'balanced', 'C': 100}",0.7889179485000424,0.10748445720196695,14
0.0001,True,True,500,sigmoid,scale,3,0.4,,0.1,"{'tol': 0.0001, 'shrinking': True, 'probability': True, 'max_iter': 500, 'kernel': 'sigmoid', 'gamma': 'scale', 'degree': 3, 'coef0': 0.4, 'class_weight': None, 'C': 0.1}",0.7516810430299425,0.011552001730625037,15
1e-05,True,False,250,sigmoid,scale,4,0.0,,0.1,"{'tol': 1e-05, 'shrinking': True, 'probability': False, 'max_iter': 250, 'kernel': 'sigmoid', 'gamma': 'scale', 'degree': 4, 'coef0': 0.0, 'class_weight': None, 'C': 0.1}",0.7328816818220447,0.011456437734762886,16
0.0001,False,False,750,sigmoid,scale,2,0.3,balanced,100,"{'tol': 0.0001, 'shrinking': False, 'probability': False, 'max_iter': 750, 'kernel': 'sigmoid', 'gamma': 'scale', 'degree': 2, 'coef0': 0.3, 'class_weight': 'balanced', 'C': 100}",0.7038494660207926,0.00927329058593089,17
1e-05,True,True,100,poly,scale,3,0.0,balanced,1,"{'tol': 1e-05, 'shrinking': True, 'probability': True, 'max_iter': 100, 'kernel': 'poly', 'gamma': 'scale', 'degree': 3, 'coef0': 0.0, 'class_weight': 'balanced', 'C': 1}",0.5936696552505595,0.008973173267683522,18
0.0001,False,True,100,sigmoid,scale,5,0.2,balanced,0.1,"{'tol': 0.0001, 'shrinking': False, 'probability': True, 'max_iter': 100, 'kernel': 'sigmoid', 'gamma': 'scale', 'degree': 5, 'coef0': 0.2, 'class_weight': 'balanced', 'C': 0.1}",0.5180546939180193,0.035421364614297075,19
0.0001,True,True,1000,poly,scale,4,0.0,,0.1,"{'tol': 0.0001, 'shrinking': True, 'probability': True, 'max_iter': 1000, 'kernel': 'poly', 'gamma': 'scale', 'degree': 4, 'coef0': 0.0, 'class_weight': None, 'C': 0.1}",0.506812059148466,0.002615903611094836,20
0.0001,False,False,1000,sigmoid,auto,3,0.1,balanced,10,"{'tol': 0.0001, 'shrinking': False, 'probability': False, 'max_iter': 1000, 'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 3, 'coef0': 0.1, 'class_weight': 'balanced', 'C': 10}",0.43797197671454063,0.044644641928659426,21
0.0001,True,False,750,sigmoid,auto,4,0.2,balanced,100,"{'tol': 0.0001, 'shrinking': True, 'probability': False, 'max_iter': 750, 'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 4, 'coef0': 0.2, 'class_weight': 'balanced', 'C': 100}",0.43381727854734997,0.04107886174736591,22
1e-05,True,False,100,sigmoid,auto,2,0.2,balanced,10,"{'tol': 1e-05, 'shrinking': True, 'probability': False, 'max_iter': 100, 'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 2, 'coef0': 0.2, 'class_weight': 'balanced', 'C': 10}",0.3606322412962805,0.09020173272303503,23
0.0001,True,True,100,sigmoid,auto,5,0.3,balanced,100,"{'tol': 0.0001, 'shrinking': True, 'probability': True, 'max_iter': 100, 'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 5, 'coef0': 0.3, 'class_weight': 'balanced', 'C': 100}",0.35588067618481056,0.0772624577519804,24
0.001,False,True,250,sigmoid,auto,5,0.0,,1,"{'tol': 0.001, 'shrinking': False, 'probability': True, 'max_iter': 250, 'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 5, 'coef0': 0.0, 'class_weight': None, 'C': 1}",0.3020357780232855,0.05150749027727095,25
