param_tol,param_shrinking,param_probability,param_max_iter,param_kernel,param_gamma,param_degree,param_coef0,param_class_weight,param_C,params,mean_test_score,std_test_score,rank_test_score
0.001,False,False,500,poly,auto,2,0.3,,0.1,"{'tol': 0.001, 'shrinking': False, 'probability': False, 'max_iter': 500, 'kernel': 'poly', 'gamma': 'auto', 'degree': 2, 'coef0': 0.3, 'class_weight': None, 'C': 0.1}",0.9999405116002379,0.00017846519928612636,1
1e-05,True,True,500,rbf,scale,4,0.0,balanced,100,"{'tol': 1e-05, 'shrinking': True, 'probability': True, 'max_iter': 500, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 4, 'coef0': 0.0, 'class_weight': 'balanced', 'C': 100}",0.9999405116002379,0.00017846519928612636,1
1e-05,False,False,250,rbf,scale,2,0.0,balanced,100,"{'tol': 1e-05, 'shrinking': False, 'probability': False, 'max_iter': 250, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 2, 'coef0': 0.0, 'class_weight': 'balanced', 'C': 100}",0.9999405116002379,0.00017846519928612636,1
0.0001,True,True,500,poly,auto,2,0.0,,1,"{'tol': 0.0001, 'shrinking': True, 'probability': True, 'max_iter': 500, 'kernel': 'poly', 'gamma': 'auto', 'degree': 2, 'coef0': 0.0, 'class_weight': None, 'C': 1}",0.9998810232004759,0.00023795359904816847,4
1e-05,True,True,1000,poly,scale,5,0.2,balanced,100,"{'tol': 1e-05, 'shrinking': True, 'probability': True, 'max_iter': 1000, 'kernel': 'poly', 'gamma': 'scale', 'degree': 5, 'coef0': 0.2, 'class_weight': 'balanced', 'C': 100}",0.999880987790714,0.00023802443174105752,5
1e-05,False,False,100,poly,scale,3,0.3,,100,"{'tol': 1e-05, 'shrinking': False, 'probability': False, 'max_iter': 100, 'kernel': 'poly', 'gamma': 'scale', 'degree': 3, 'coef0': 0.3, 'class_weight': None, 'C': 100}",0.999880987790714,0.00023802443174105752,5
0.001,False,True,100,rbf,scale,4,0.0,balanced,10,"{'tol': 0.001, 'shrinking': False, 'probability': True, 'max_iter': 100, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 4, 'coef0': 0.0, 'class_weight': 'balanced', 'C': 10}",0.9997620464009518,0.00029143245006341486,7
0.001,True,False,250,rbf,scale,5,0.2,,1,"{'tol': 0.001, 'shrinking': True, 'probability': False, 'max_iter': 250, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 5, 'coef0': 0.2, 'class_weight': None, 'C': 1}",0.9997620109911901,0.0002914758341190358,8
0.001,True,True,1000,rbf,scale,3,0.0,,1,"{'tol': 0.001, 'shrinking': True, 'probability': True, 'max_iter': 1000, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 3, 'coef0': 0.0, 'class_weight': None, 'C': 1}",0.9997620109911901,0.0002914758341190358,8
0.001,True,True,250,rbf,scale,4,0.3,balanced,1,"{'tol': 0.001, 'shrinking': True, 'probability': True, 'max_iter': 250, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 4, 'coef0': 0.3, 'class_weight': 'balanced', 'C': 1}",0.9997620109911901,0.0002914758341190358,8
1e-05,False,True,100,rbf,auto,2,0.2,,0.1,"{'tol': 1e-05, 'shrinking': False, 'probability': True, 'max_iter': 100, 'kernel': 'rbf', 'gamma': 'auto', 'degree': 2, 'coef0': 0.2, 'class_weight': None, 'C': 0.1}",0.9997025580011897,0.0003990603172218503,11
0.001,False,True,1000,rbf,scale,5,0.0,balanced,10,"{'tol': 0.001, 'shrinking': False, 'probability': True, 'max_iter': 1000, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 5, 'coef0': 0.0, 'class_weight': 'balanced', 'C': 10}",0.999702522591428,0.0002974774254317615,12
0.0001,True,False,500,poly,auto,5,0.2,balanced,0.1,"{'tol': 0.0001, 'shrinking': True, 'probability': False, 'max_iter': 500, 'kernel': 'poly', 'gamma': 'auto', 'degree': 5, 'coef0': 0.2, 'class_weight': 'balanced', 'C': 0.1}",0.9996430341916659,0.0003946227693888467,13
1e-05,False,False,250,poly,scale,5,0.2,,10,"{'tol': 1e-05, 'shrinking': False, 'probability': False, 'max_iter': 250, 'kernel': 'poly', 'gamma': 'scale', 'degree': 5, 'coef0': 0.2, 'class_weight': None, 'C': 10}",0.9996429987819042,0.0003947509018826111,14
1e-05,True,True,1000,poly,scale,5,0.0,balanced,100,"{'tol': 1e-05, 'shrinking': True, 'probability': True, 'max_iter': 1000, 'kernel': 'poly', 'gamma': 'scale', 'degree': 5, 'coef0': 0.0, 'class_weight': 'balanced', 'C': 100}",0.9994049743633326,0.0007528113218925477,15
1e-05,False,False,500,poly,scale,5,0.2,balanced,1,"{'tol': 1e-05, 'shrinking': False, 'probability': False, 'max_iter': 500, 'kernel': 'poly', 'gamma': 'scale', 'degree': 5, 'coef0': 0.2, 'class_weight': 'balanced', 'C': 1}",0.9991076031840457,0.000297512885764892,16
1e-05,True,False,1000,rbf,scale,2,0.1,,0.1,"{'tol': 1e-05, 'shrinking': True, 'probability': False, 'max_iter': 1000, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 2, 'coef0': 0.1, 'class_weight': None, 'C': 0.1}",0.9990480793745219,0.0009293337685525249,17
1e-05,False,True,100,poly,auto,3,0.2,balanced,100,"{'tol': 1e-05, 'shrinking': False, 'probability': True, 'max_iter': 100, 'kernel': 'poly', 'gamma': 'auto', 'degree': 3, 'coef0': 0.2, 'class_weight': 'balanced', 'C': 100}",0.9985722075861873,0.0012249273844058169,18
